,0,1,2,3,4,5,6
309,70,78,78,78,70,78,70
310,80,70,80,80,80,80,80
311,70,86,88,80,80,86,70
312,85,78,77,85,80,70,70
313,86,86,73,80,86,73,70
314,70,70,76,70,70,70,76
315,80,80,88,88,80,80,71
316,70,70,80,80,80,80,77
317,80,80,80,66,80,80,66
318,89,66,80,89,80,80,89
319,86,84,84,86,86,69,84
320,79,69,79,79,79,79,79
321,77,69,77,69,69,69,69
322,88,85,85,70,85,70,85
323,73,73,88,73,73,88,88
324,85,70,70,70,70,70,70
325,88,88,70,80,88,88,88
326,80,89,73,89,89,70,70
327,78,70,70,85,80,78,80
328,88,73,85,70,70,70,70
329,78,78,78,80,80,88,80
330,80,70,80,80,70,80,70
331,70,88,74,88,74,88,70
332,88,78,88,80,78,70,78
333,70,85,70,70,88,85,85
334,70,85,70,73,73,70,70
335,70,70,77,77,77,77,70
336,88,78,88,70,78,70,70
337,88,77,70,70,70,70,77
338,77,70,77,70,77,70,70
339,70,70,70,80,70,80,70
340,80,70,70,70,80,80,70
341,70,70,70,70,70,70,77
342,70,77,85,77,70,70,85
343,70,70,83,87,87,87,70
344,80,70,80,80,70,70,80
345,77,80,70,80,70,70,77
346,80,78,78,80,78,80,78
347,80,77,77,80,80,80,77
348,80,80,80,80,80,88,88
349,73,88,73,71,73,88,88
350,85,73,73,88,85,71,85
351,71,71,71,83,71,71,83
352,70,84,77,84,77,70,77
353,71,71,83,73,71,73,73
354,71,71,86,71,71,86,86
355,87,71,71,74,88,74,88
356,85,88,80,88,67,80,67
357,48,48,48,80,80,80,80
358,70,74,87,87,87,70,87
359,88,88,70,88,70,88,88
360,70,79,79,79,70,79,70
361,88,78,78,78,78,78,78
362,73,77,71,84,71,71,77
363,68,68,68,73,73,73,73
364,68,68,68,77,77,77,77
365,68,68,68,80,80,80,80
366,68,80,68,80,68,80,68
367,77,68,68,77,68,68,68
368,77,69,69,69,69,69,69
369,77,69,69,69,69,69,77
370,80,80,69,80,80,88,88
371,86,80,69,80,86,86,69
372,68,77,77,77,77,68,77
373,87,68,73,68,68,87,74
374,73,73,68,76,76,68,73
375,68,68,68,68,68,68,80
376,77,77,77,67,77,77,77
377,76,67,76,77,77,76,76
378,67,80,80,67,80,80,67
379,83,68,83,83,83,68,83
380,67,87,67,74,73,73,73
381,67,67,77,86,77,86,77
382,80,77,77,67,77,67,80
383,67,67,67,67,67,77,76
384,67,77,67,77,67,77,67
385,74,73,73,77,86,86,86
386,77,66,77,77,66,66,66
387,66,66,66,66,80,80,66
388,73,67,77,67,67,73,67
389,67,76,76,74,76,74,76
390,77,77,77,66,66,66,77
391,66,66,77,66,66,73,66
392,80,66,80,80,66,66,66
393,77,77,77,77,66,77,66
394,86,86,86,86,67,85,77
395,77,66,66,77,66,66,77
396,77,83,78,83,77,67,77
397,66,73,73,73,73,66,66
398,76,76,87,87,66,74,76
399,66,66,66,73,74,74,73
400,76,77,76,67,76,77,77
401,77,77,77,77,68,68,77
402,86,88,77,88,86,63,77
403,62,80,74,62,73,78,78
404,13,76,76,75,75,13,13
405,69,74,69,69,73,73,85
406,69,83,69,88,83,83,69
407,69,77,77,69,69,69,69
408,88,69,69,77,75,69,77
409,80,80,80,69,69,80,69
410,69,69,69,77,69,77,77
411,81,69,81,69,81,81,87
412,69,77,69,77,69,77,69
413,69,69,83,69,69,69,69
414,55,77,77,55,55,55,55
415,76,90,76,76,48,48,48
416,30,80,80,30,80,80,80
417,76,80,80,76,76,80,34
418,84,75,75,76,23,75,75
419,84,77,77,76,37,77,37
420,24,76,84,76,76,24,24
421,86,69,86,86,86,86,80
422,76,77,69,69,77,77,76
423,81,81,76,81,81,80,80
424,69,69,83,69,83,69,69
425,77,77,77,77,65,77,65
426,75,89,76,75,87,75,87
427,80,35,80,80,80,35,35
428,77,77,44,44,77,44,44
429,80,80,80,24,87,24,80
430,77,6,6,6,6,77,77
431,73,73,74,74,59,74,74
432,13,13,76,76,76,84,84
433,62,77,62,62,77,62,62
434,29,29,87,87,87,29,87
435,42,90,77,42,42,73,42
436,54,83,83,83,54,54,83
437,83,65,83,83,65,65,83
438,83,83,83,56,83,56,83
439,83,83,83,83,83,66,83
440,55,83,55,83,83,83,55
441,52,83,83,83,52,83,83
442,63,83,83,83,63,83,63
443,83,83,36,36,36,36,36
444,83,31,31,31,31,83,87
445,18,83,83,83,18,83,83
446,49,49,49,83,83,49,83
447,49,49,83,49,49,49,49
448,49,83,49,49,49,83,83
449,73,87,73,73,87,73,52
450,74,62,62,62,73,73,74
451,86,51,51,51,51,84,84
452,51,83,83,83,83,51,73
453,56,73,73,83,83,73,56
454,69,69,69,69,69,80,80
455,70,70,73,73,73,70,73
456,77,70,73,73,70,77,70
457,74,76,74,70,74,80,80
458,80,68,68,80,80,68,68
459,68,68,80,68,80,68,68
460,68,80,80,80,68,80,68
461,68,68,68,80,80,68,80
462,65,65,86,86,65,65,86
463,74,74,67,67,74,74,74
464,67,80,67,80,67,80,67
465,67,67,74,76,74,74,67
466,88,65,88,65,88,65,88
467,66,66,80,66,80,66,80
468,66,66,66,80,66,80,66
469,80,66,66,66,80,80,66
470,90,66,90,90,90,66,66
471,80,69,89,89,80,80,80
472,69,73,69,81,73,74,74
473,84,69,69,75,84,75,69
474,87,89,36,89,87,87,87
475,69,80,80,80,69,69,80
476,77,69,69,77,77,69,69
477,69,76,69,76,76,69,76
478,86,13,86,77,13,77,86
479,85,85,31,31,85,85,31
480,77,77,32,32,77,88,32
481,77,80,77,77,80,80,80
482,78,32,78,78,32,78,78
483,15,89,80,89,89,15,80
484,82,85,82,85,82,14,14
485,37,37,86,84,86,86,37
486,86,27,27,27,86,27,86
487,77,26,86,77,26,77,86
488,82,82,82,82,23,23,23
489,19,88,82,86,86,86,88
490,77,86,88,86,88,28,28
491,74,11,11,11,11,74,11
492,80,28,28,28,28,28,80
493,7,7,7,85,85,7,85
494,77,77,77,77,13,13,13
495,74,29,77,29,74,77,77
496,19,80,19,19,80,80,19
497,11,11,77,77,11,11,11
498,74,86,86,73,24,73,89
499,31,80,31,31,31,31,80
500,74,74,69,76,76,69,76
501,75,76,76,76,76,84,84
502,77,77,44,77,44,44,44
503,80,45,45,45,80,45,80
504,78,78,40,80,80,78,78
505,85,85,88,85,85,88,85
506,28,80,80,28,28,28,28
507,80,80,80,24,80,80,24
508,80,69,80,69,69,80,69
509,62,80,80,80,62,62,80
510,80,90,90,73,73,73,73
511,35,89,89,89,89,35,74
512,86,86,77,77,86,86,77
513,88,88,22,88,22,22,22
514,77,86,86,77,50,77,77
515,80,89,70,89,70,73,89
516,56,77,56,77,77,77,56
517,80,86,86,80,52,86,80
518,80,80,80,80,63,63,63
519,21,21,74,74,74,21,74
520,89,89,36,36,74,74,36
521,51,80,89,80,89,80,89
522,77,77,80,77,59,59,77
523,77,80,40,77,40,80,80
524,13,13,77,13,13,13,13
525,85,82,19,82,19,19,19
526,80,73,74,80,74,80,74
527,55,80,55,80,80,80,80
528,57,57,89,80,89,80,89
529,58,58,80,58,80,58,58
530,48,48,48,48,74,74,48
531,86,80,69,80,80,86,86
532,70,86,86,70,70,86,70
533,70,85,70,70,85,85,85
534,70,70,80,80,80,70,80
535,86,70,70,70,70,86,86
536,80,70,70,80,80,70,80
537,80,64,64,80,64,64,64
538,76,70,84,84,76,70,84
539,70,77,70,76,77,76,77
540,73,68,73,68,68,68,68
541,68,74,74,74,74,68,74
542,75,75,76,76,86,84,86
543,84,80,80,68,68,84,80
544,86,86,86,80,69,78,69
545,86,68,86,86,68,68,68
546,69,73,88,88,69,88,88
547,69,78,69,78,78,69,78
548,81,76,76,69,76,69,81
549,89,89,86,86,86,80,86
550,68,68,68,73,68,73,68
551,68,68,83,68,68,68,83
552,68,87,87,87,68,87,87
553,80,80,80,80,86,86,80
554,68,68,74,73,74,73,73
555,68,80,80,80,80,80,68
556,68,68,90,68,68,90,68
557,80,67,67,67,80,84,67
558,88,88,80,80,88,80,80
559,67,80,83,67,67,83,83
560,76,81,86,87,76,86,87
561,80,83,80,83,83,83,67
562,74,90,73,74,68,90,73
563,83,68,68,83,68,83,68
564,77,68,68,68,68,68,68
565,68,88,68,88,68,83,88
566,67,88,74,73,67,73,88
567,67,83,67,83,83,83,67
568,67,67,88,67,86,86,73
569,80,83,67,67,67,80,67
570,90,90,67,67,67,67,67
571,77,77,88,77,66,77,66
572,73,88,88,73,88,73,67
573,87,87,83,87,87,87,83
574,86,66,85,85,66,66,86
575,67,67,90,77,90,90,90
576,66,74,73,73,78,66,73
577,87,66,66,66,77,66,77
578,66,87,87,73,87,87,66
579,66,77,77,77,77,77,77
580,68,86,68,68,68,68,77
581,80,88,66,66,80,88,88
582,66,66,66,80,86,80,80
583,88,66,78,78,78,78,78
584,76,76,66,66,80,76,76
585,66,66,66,66,77,77,66
586,67,67,67,67,73,67,67
587,80,66,85,66,66,85,80
588,84,76,84,84,76,64,64
589,90,90,42,90,90,42,42
590,73,73,73,73,69,73,87
591,88,88,69,69,88,88,69
592,88,85,85,68,68,85,85
593,89,89,66,89,66,66,66
594,69,69,80,80,69,69,80
595,88,88,88,88,69,88,88
596,69,75,84,69,75,76,84
597,69,88,88,73,73,69,69
598,77,69,80,77,80,69,69
599,73,69,73,69,69,69,73
600,76,69,76,69,76,69,76
601,89,74,16,16,16,74,16
602,24,84,86,86,86,86,24
603,85,88,88,88,27,88,88
604,7,7,7,77,7,77,7
605,84,84,84,17,17,17,17
606,80,80,23,80,23,23,80
607,13,88,86,13,86,88,13
608,88,85,18,85,86,88,88
609,23,77,23,23,23,23,23
610,31,84,84,31,84,31,31
611,82,85,78,85,78,85,85
612,80,80,80,80,80,80,10
613,77,9,77,77,9,9,9
614,29,80,29,29,80,80,80
615,88,88,8,88,8,8,8
616,87,83,41,41,41,87,87
617,3,80,3,3,80,3,3
618,28,28,28,28,80,80,28
619,88,88,88,88,88,88,88
620,69,69,69,80,69,80,69
621,28,90,90,28,28,90,90
622,74,33,76,74,74,76,76
623,67,77,77,67,77,77,76
624,76,76,75,18,75,84,84
625,75,75,76,76,36,36,75
626,22,22,22,76,80,76,80
627,64,80,64,64,80,64,80
628,78,78,80,78,78,80,69
629,84,84,77,77,55,84,77
630,38,38,38,38,77,38,77
631,65,80,80,80,86,65,80
632,80,55,55,80,55,55,55
633,80,80,80,80,11,80,11
634,69,79,79,69,79,69,79
635,83,53,53,53,83,53,53
636,88,87,54,87,54,88,54
637,54,83,54,83,77,54,54
638,55,80,80,80,80,55,80
639,52,52,52,52,80,80,80
640,62,80,62,80,80,80,62
641,89,80,80,89,80,30,30
642,80,63,78,63,63,80,63
643,80,67,67,86,67,80,67
644,79,61,79,61,79,61,61
645,79,79,79,63,79,63,79
646,90,90,42,42,42,90,42
647,80,89,89,80,80,80,89
648,86,86,77,77,25,25,25
649,78,78,57,78,80,78,80
650,80,80,80,30,30,80,30
651,73,62,73,80,80,80,80
652,80,63,63,80,77,80,63
653,31,31,82,31,78,88,82
654,88,88,85,88,82,88,82
655,74,74,77,74,59,77,80
656,82,88,4,88,78,88,88
657,35,82,88,82,88,88,35
658,80,80,63,63,63,63,80
659,17,17,85,88,77,88,77
660,64,80,80,64,64,64,80
661,90,90,90,25,25,25,25
662,80,80,86,53,53,80,86
663,52,77,52,77,77,77,52
664,57,57,57,57,57,80,57
665,65,65,88,65,73,87,87
666,47,47,83,47,47,47,83
667,50,50,83,50,83,50,83
668,83,73,73,73,83,54,83
669,83,64,83,83,83,83,83
670,88,87,66,88,83,87,83
671,8,83,83,8,8,8,83
672,83,83,65,65,65,65,83
673,82,88,35,35,35,35,88
674,55,55,83,83,55,83,83
675,1,1,83,83,1,83,1
676,69,80,80,69,80,80,80
677,79,70,79,70,70,79,79
678,70,88,80,80,70,88,70
679,73,73,54,74,54,74,74
680,74,73,74,70,70,70,70
681,83,70,70,83,70,83,83
682,70,85,70,70,70,85,70
683,77,70,70,77,70,70,77
684,88,66,66,88,73,73,66
685,88,73,88,88,88,73,73
686,73,80,80,73,80,73,80
687,77,89,77,70,70,89,70
688,77,70,70,70,77,77,77
689,73,70,73,70,88,73,88
690,80,70,70,80,80,70,70
691,87,87,88,88,88,71,71
692,86,80,80,77,68,77,86
693,68,68,80,68,80,68,80
694,68,86,86,68,86,68,86
695,68,77,80,77,80,77,68
696,69,69,88,80,69,80,69
697,68,68,68,68,80,68,68
698,67,67,67,80,80,67,80
699,80,80,67,80,67,67,67
700,68,68,77,68,68,68,68
701,66,79,66,66,79,66,66
702,77,77,86,86,86,77,67
703,80,80,80,80,80,80,67
704,80,66,66,66,66,80,66
705,25,86,86,84,25,86,84
706,69,69,83,83,83,69,69
707,64,64,80,64,80,64,80
708,62,80,62,80,80,80,62
709,65,65,86,86,65,65,86
710,58,77,77,58,77,58,58
711,69,69,69,69,69,69,69
712,80,60,77,60,80,60,77
713,68,68,80,68,68,68,80
714,68,86,80,86,68,80,86
715,68,68,77,77,68,77,77
716,86,86,86,80,68,86,80
717,69,88,80,80,69,80,88
718,69,69,77,69,69,77,77
719,77,77,89,89,67,67,77
720,68,74,86,68,68,68,80
721,68,68,68,77,68,77,68
722,77,77,68,77,77,77,68
723,80,68,68,77,68,68,80
724,68,80,86,80,68,86,80
725,67,67,67,67,67,77,67
726,76,68,68,80,68,68,80
727,80,80,86,80,80,80,86
728,67,67,67,67,87,77,77
729,80,67,67,67,80,80,80
730,86,80,69,86,69,86,86
731,80,86,67,80,67,77,86
732,77,86,77,86,77,86,66
733,67,67,80,80,86,86,86
734,77,66,66,66,66,66,66
735,80,66,66,66,66,80,80
736,66,66,80,86,80,66,86
737,80,80,77,80,80,77,80
738,77,77,77,86,67,67,67
739,63,63,86,77,63,86,77
740,80,86,86,80,86,86,80
741,80,80,80,88,69,80,88
742,80,80,80,80,69,88,88
743,73,73,69,69,88,88,88
744,80,80,69,89,69,80,89
745,77,77,77,45,77,77,77
746,77,77,58,58,77,77,77
747,77,77,86,86,86,77,86
748,86,88,86,88,86,88,86
749,86,77,77,77,70,86,70
750,70,70,80,80,80,80,70
751,73,73,73,88,70,70,88
752,71,73,71,73,88,73,71
753,67,80,67,80,67,67,80
754,88,70,88,88,78,88,88
755,87,76,87,81,87,73,81
756,68,77,77,68,68,77,68
757,79,79,79,68,79,79,79
758,69,69,88,87,87,87,87
759,68,73,73,73,68,68,73
760,87,68,68,68,87,68,87
761,68,68,88,88,68,68,88
762,69,80,80,69,80,69,80
763,77,77,77,69,77,69,77
764,69,69,86,86,69,69,69
765,86,77,65,77,86,86,77
766,69,69,79,69,69,79,69
767,68,68,68,83,83,68,68
768,76,76,76,74,68,74,74
769,87,87,85,85,68,73,85
770,82,82,85,82,88,68,82
771,88,88,73,73,68,73,88
772,80,68,80,68,68,68,68
773,88,88,67,67,88,88,88
774,68,68,68,83,83,83,83
775,77,77,80,80,86,77,80
776,80,80,80,80,80,80,80
777,68,68,83,83,83,83,68
778,77,77,80,86,77,80,77
779,67,73,73,67,73,73,73
780,67,77,77,67,67,67,67
781,86,77,77,68,86,68,77
782,80,80,67,80,67,80,80
783,67,86,86,77,86,77,86
784,83,83,66,80,83,80,80
785,67,67,67,77,77,86,86
786,68,77,68,77,68,86,68
787,77,80,77,80,68,77,80
788,67,88,83,83,83,83,88
789,77,77,68,68,77,77,68
790,68,68,68,68,77,68,68
791,76,68,68,76,68,68,68
792,67,77,67,77,77,77,67
793,67,67,77,77,77,67,67
794,86,86,67,67,86,86,86
795,77,67,76,67,76,76,77
796,86,86,77,77,86,77,86
797,67,87,67,73,67,73,67
798,68,68,73,68,73,73,68
799,68,68,80,68,80,68,80
800,88,83,83,88,83,68,68
801,67,67,67,77,67,67,67
802,74,88,88,66,78,66,73
803,89,73,66,73,80,66,73
804,67,77,67,67,77,77,77
805,66,85,66,66,77,77,85
806,80,66,73,80,80,80,78
807,66,80,80,80,80,66,66
808,66,73,66,66,66,73,80
809,85,80,66,85,85,85,73
810,73,73,73,67,73,67,67
811,79,79,79,66,79,66,79
812,74,74,76,76,76,67,76
813,69,69,79,79,79,69,69
814,67,67,79,67,79,67,79
815,80,69,69,69,86,86,80
816,83,83,83,83,83,83,83
817,80,69,80,80,69,80,69
818,77,77,77,77,77,69,77
819,69,69,77,69,69,77,77
820,76,69,76,81,76,75,74
821,86,77,86,77,77,86,86
822,41,80,41,80,41,41,41
823,78,78,82,78,82,82,88
824,77,77,69,69,69,77,77
825,69,88,87,69,69,73,73
826,74,74,74,69,74,74,69
827,69,88,88,69,69,88,74
828,76,74,74,74,76,76,69
829,73,74,74,69,74,74,69
830,88,88,73,73,85,73,69
831,69,73,88,74,87,74,88
832,80,81,76,69,80,76,80
833,73,69,69,69,73,73,73
834,83,68,88,83,88,83,88
835,7,84,7,7,86,86,86
836,77,77,12,86,86,12,12
837,80,80,80,14,14,80,14
838,73,69,73,73,69,69,69
839,83,68,88,68,88,68,83
840,90,73,90,80,90,73,80
841,73,69,69,73,73,88,73
842,33,76,77,80,77,77,77
843,76,32,32,76,76,32,32
844,78,78,69,69,78,78,78
845,77,69,69,69,69,77,77
846,80,80,69,80,86,80,69
847,69,80,69,79,79,80,69
848,17,88,17,17,88,82,82
849,86,73,73,63,63,63,73
850,79,69,69,79,69,79,79
851,39,39,80,80,80,39,80
852,69,69,80,80,80,88,69
853,77,65,83,83,65,65,83
854,77,77,60,60,77,83,83
855,85,86,73,54,85,85,86
856,80,80,64,80,64,77,80
857,69,79,69,69,79,79,69
858,69,83,83,83,69,83,69
859,83,83,77,77,83,59,59
860,83,60,83,83,88,60,60
861,59,83,83,83,59,59,83
862,76,77,76,77,69,77,69
863,69,80,69,69,80,69,69
864,77,69,77,77,77,77,77
865,80,80,80,70,70,70,80
866,77,69,86,69,77,69,77
867,69,69,80,80,80,80,80
868,70,70,70,70,80,80,70
869,70,77,70,86,86,70,86
870,70,70,86,70,70,86,70
871,70,77,70,70,70,77,77
872,70,70,70,70,70,70,86
873,70,86,77,77,77,77,77
