movie1,movie2,movie3,movie4,movie5,movie6,label
597,225,587,32,160,266,0
225,587,32,160,317,357,0
587,32,160,317,440,11,1
32,160,317,440,11,350,1
160,317,440,11,350,432,1
317,440,11,350,432,435,0
440,11,350,432,2,282,0
11,350,432,2,315,474,1
350,432,2,315,474,509,0
432,2,315,474,17,95,1
2,315,474,17,95,236,1
315,474,17,95,236,553,1
474,17,95,236,553,141,1
17,95,236,553,141,151,1
95,236,553,141,151,196,0
236,553,141,151,337,508,1
553,141,151,337,508,186,0
141,151,337,508,252,736,1
151,337,508,252,736,62,1
337,508,252,736,62,158,1
508,252,736,62,158,293,0
252,736,62,158,168,261,1
736,62,158,168,261,36,1
62,158,168,261,36,256,0
158,168,261,36,353,368,1
168,261,36,353,368,6,1
261,36,353,368,6,105,0
36,353,368,6,333,224,0
353,368,6,333,370,485,0
368,6,333,370,515,16,1
6,333,370,515,16,31,0
333,370,515,16,355,497,0
370,515,16,355,594,277,1
515,16,355,594,277,466,0
16,355,594,277,22,237,1
355,594,277,22,237,273,0
594,277,22,237,276,468,1
277,22,237,276,468,5,1
22,237,276,468,5,181,0
237,276,468,5,145,230,1
276,468,5,145,230,112,1
468,5,145,230,112,218,0
5,145,230,112,207,222,1
145,230,112,207,222,327,0
230,112,207,222,616,216,1
112,207,222,616,216,303,0
207,222,616,216,475,540,0
222,616,216,475,477,491,1
616,216,475,477,491,596,0
216,475,477,491,257,494,0
475,477,491,257,60,170,0
477,491,257,60,248,7,1
491,257,60,248,7,3,1
257,60,248,7,3,374,0
60,248,7,3,281,383,0
248,7,3,281,104,546,0
7,3,281,104,361,708,1
3,281,104,361,708,24,1
281,104,361,708,24,382,0
104,361,708,24,415,195,1
361,708,24,415,195,289,0
708,24,415,195,351,502,0
24,415,195,351,15,412,0
415,195,351,15,542,46,1
195,351,15,542,46,262,1
351,15,542,46,262,426,0
15,542,46,262,93,490,0
542,46,262,93,783,802,1
46,262,93,783,802,314,1
262,93,783,802,314,405,0
93,783,802,314,516,548,0
783,802,314,516,41,366,0
802,314,516,41,450,606,0
314,516,41,450,637,747,0
516,41,450,637,89,445,0
41,450,637,89,274,312,0
450,637,89,274,647,258,0
637,89,274,647,271,709,1
89,274,647,271,709,340,1
274,647,271,709,340,358,0
647,271,709,340,631,8,0
271,709,340,631,76,505,0
709,340,631,76,711,126,0
340,631,76,711,569,609,1
631,76,711,569,609,667,0
76,711,569,609,26,179,0
711,569,609,26,54,171,0
569,609,26,54,354,102,0
609,26,54,354,61,92,1
26,54,354,61,92,1084,0
54,354,61,92,469,818,0
354,61,92,469,838,304,1
61,92,469,838,304,313,0
92,469,838,304,250,43,1
469,838,304,250,43,146,1
838,304,250,43,146,472,0
304,250,43,146,852,209,0
250,43,146,852,86,219,0
43,146,852,86,700,212,1
146,852,86,700,212,536,0
852,86,700,212,835,830,1
86,700,212,835,830,336,0
700,212,835,830,1082,201,0
212,835,830,1082,210,996,1
835,830,1082,210,996,848,1
830,1082,210,996,848,881,0
1082,210,996,848,986,795,0
210,996,848,986,1004,981,0
996,848,986,1004,1064,1006,1
848,986,1004,1064,1006,1049,1
986,1004,1064,1006,1049,979,0
1004,1064,1006,1049,991,1061,1
1064,1006,1049,991,1061,780,1
1584,1610,1208,1220,1917,1517,0
1610,1208,1220,1917,1219,3114,1
1208,1220,1917,1219,3114,1101,1
1220,1917,1219,3114,1101,58,0
1917,1219,3114,1101,4306,466,1
1219,3114,1101,4306,466,2640,0
3114,1101,4306,466,2529,2762,1
1101,4306,466,2529,2762,1682,0
4306,466,2529,2762,1954,1246,0
466,2529,2762,1954,1270,920,0
2529,2762,1954,1270,5816,587,0
2762,1954,1270,5816,3869,5378,0
1954,1270,5816,3869,593,356,1
1270,5816,3869,593,356,480,1
5816,3869,593,356,480,592,0
3869,593,356,480,150,260,1
593,356,480,150,260,380,0
356,480,150,260,780,1,1
480,150,260,780,1,1210,1
150,260,780,1,1210,588,0
260,780,1,1210,648,165,1
780,1,1210,648,165,50,1
1,1210,648,165,50,1196,1
1210,648,165,50,1196,8961,1
648,165,50,1196,8961,8970,0
165,50,1196,8961,8957,8984,1
50,1196,8961,8957,8984,8636,1
1196,8961,8957,8984,8636,6333,1
8961,8957,8984,8636,6333,7153,1
8957,8984,8636,6333,7153,5952,1
8984,8636,6333,7153,5952,4886,1
8636,6333,7153,5952,4886,3578,0
6333,7153,5952,4886,7143,6539,1
7153,5952,4886,7143,6539,4993,1
5952,4886,7143,6539,4993,8368,0
4886,7143,6539,4993,3916,5989,1
7143,6539,4993,3916,5989,8798,1
6539,4993,3916,5989,8798,5349,0
4993,3916,5989,8798,4995,5464,0
3916,5989,8798,4995,4963,5445,1
5989,8798,4995,4963,5445,4896,1
8798,4995,4963,5445,4896,8360,0
4995,4963,5445,4896,750,8528,1
4963,5445,4896,750,8528,3623,0
5445,4896,750,8528,2858,3408,1
4896,750,8528,2858,3408,2628,0
750,8528,2858,3408,1240,1183,0
8528,2858,3408,1240,924,595,0
2858,3408,1240,924,5991,5459,0
3408,1240,924,5991,6863,6365,1
1240,924,5991,6863,6365,5218,0
924,5991,6863,6365,4370,4018,1
5991,6863,6365,4370,4018,3354,0
6863,6365,4370,4018,8207,8865,0
6365,4370,4018,8207,2019,5618,1
4370,4018,8207,2019,5618,8666,0
4018,8207,2019,5618,7445,27741,0
8207,2019,5618,7445,8949,4246,0
2019,5618,7445,8949,2671,33162,0
5618,7445,8949,2671,34319,8908,1
7445,8949,2671,34319,8908,32031,0
8949,2671,34319,8908,42002,38388,0
2671,34319,8908,42002,45517,45499,1
34319,8908,42002,45517,45499,6534,0
8908,42002,45517,45499,48783,37741,0
42002,45517,45499,48783,49272,48516,0
150,296,380,590,231,593,1
296,380,590,231,593,292,0
380,590,231,593,318,457,0
590,231,593,318,185,208,0
231,593,318,185,253,339,0
593,318,185,253,480,34,1
318,185,253,480,34,47,1
185,253,480,34,47,364,1
253,480,34,47,364,454,1
480,34,47,364,454,21,1
34,47,364,454,21,367,0
47,364,454,21,50,317,0
364,454,21,50,377,432,0
454,21,50,377,527,539,0
21,50,377,527,357,2,1
50,377,527,357,2,11,1
377,527,357,2,11,186,1
527,357,2,11,186,252,0
223,1674,1198,5445,5890,5218,1
1674,1198,5445,5890,5218,5378,0
1198,5445,5890,5218,5447,5451,1
5445,5890,5218,5447,5451,5481,1
5890,5218,5447,5451,5481,5507,0
5218,5447,5451,5481,5952,5902,1
5447,5451,5481,5952,5902,5872,0
5451,5481,5952,5902,5956,922,1
5481,5952,5902,5956,922,923,1
5952,5902,5956,922,923,3735,0
5902,5956,922,923,4993,2300,1
5956,922,923,4993,2300,6001,1
922,923,4993,2300,6001,1095,1
923,4993,2300,6001,1095,1270,1
4993,2300,6001,1095,1270,627,0
2300,6001,1095,1270,5893,5965,1
6001,1095,1270,5893,5965,2011,0
1095,1270,5893,5965,2012,5843,0
92259,6942,40819,4995,8533,41285,0
6942,40819,4995,8533,71579,97024,0
40819,4995,8533,71579,33794,58559,1
4995,8533,71579,33794,58559,91529,1
8533,71579,33794,58559,91529,49272,1
71579,33794,58559,91529,49272,96079,1
33794,58559,91529,49272,96079,63113,0
58559,91529,49272,96079,136020,912,1
91529,49272,96079,136020,912,109374,0
49272,96079,136020,912,81845,119145,0
96079,136020,912,81845,69406,58047,0
136020,912,81845,69406,7169,7375,1
912,81845,69406,7169,7375,8869,1
81845,69406,7169,7375,8869,6266,0
69406,7169,7375,8869,68954,6377,0
7169,7375,8869,68954,79091,1028,0
7375,8869,68954,79091,588,1907,1
8869,68954,79091,588,1907,106696,1
68954,79091,588,1907,106696,87222,0
79091,588,1907,106696,103339,54286,0
588,1907,106696,103339,7153,72998,0
1907,106696,103339,7153,4993,2762,0
106696,103339,7153,4993,5952,3578,1
103339,7153,4993,5952,3578,4306,1
7153,4993,5952,3578,4306,7458,1
4993,5952,3578,4306,7458,73017,0
5952,3578,4306,7458,140110,40629,0
3578,4306,7458,140110,63992,95449,1
4306,7458,140110,63992,95449,137595,1
7458,140110,63992,95449,137595,72407,0
140110,63992,95449,137595,94070,49286,1
63992,95449,137595,94070,49286,88163,1
95449,137595,94070,49286,88163,2671,0
137595,94070,49286,88163,31685,64969,0
94070,49286,88163,31685,104374,109853,1
49286,88163,31685,104374,109853,113275,1
88163,31685,104374,109853,113275,81784,0
31685,104374,109853,113275,51705,8808,0
104374,109853,113275,51705,103335,95510,0
109853,113275,51705,103335,112006,33145,0
113275,51705,103335,112006,95167,113394,1
51705,103335,112006,95167,113394,4447,1
103335,112006,95167,113394,4447,61250,0
112006,95167,113394,4447,6535,82499,0
95167,113394,4447,6535,7154,107141,0
113394,4447,6535,7154,7149,72330,0
1917,1918,1840,1101,356,2028,1
1918,1840,1101,356,2028,6,1
1840,1101,356,2028,6,110,1
1101,356,2028,6,110,150,1
356,2028,6,110,150,589,1
2028,6,110,150,589,1210,1
6,110,150,589,1210,10,0
110,150,589,1210,457,1608,1
150,589,1210,457,1608,349,1
589,1210,457,1608,349,292,1
1210,457,1608,349,292,480,1
457,1608,349,292,480,1370,0
1608,349,292,480,1408,2002,0
349,292,480,1408,380,474,1
292,480,1408,380,474,733,1
480,1408,380,474,733,1518,1
1408,380,474,733,1518,95,0
380,474,733,1518,1552,780,1
474,733,1518,1552,780,1586,1
733,1518,1552,780,1586,1597,1
1518,1552,780,1586,1597,511,1
1552,780,1586,1597,511,648,1
780,1586,1597,511,648,736,1
1586,1597,511,648,736,1385,0
1597,511,648,736,170,1100,0
511,648,736,170,1604,1687,0
648,736,170,1604,1721,529,1
736,170,1604,1721,529,1784,1
170,1604,1721,529,1784,318,1
1604,1721,529,1784,318,593,1
1721,529,1784,318,593,1693,1
529,1784,318,593,1693,1704,1
1784,318,593,1693,1704,36,1
318,593,1693,1704,36,1358,1
593,1693,1704,36,1358,1584,1
1693,1704,36,1358,1584,1923,1
1704,36,1358,1584,1923,2027,0
261,256,2694,1357,2717,2581,1
256,2694,1357,2717,2581,830,1
2694,1357,2717,2581,830,222,1
1357,2717,2581,830,222,3967,1
2717,2581,830,222,3967,2421,0
2581,830,222,3967,2072,2572,1
830,222,3967,2072,2572,838,1
222,3967,2072,2572,838,357,0
3967,2072,2572,838,920,1265,0
2072,2572,838,920,6942,8533,1
2572,838,920,6942,8533,40629,1
838,920,6942,8533,40629,3668,1
920,6942,8533,40629,3668,2485,1
6942,8533,40629,3668,2485,168,1
8533,40629,3668,2485,168,5620,1
40629,3668,2485,168,5620,4018,1
3668,2485,168,5620,4018,63992,1
2485,168,5620,4018,63992,1721,1
168,5620,4018,63992,1721,39,1
1639,1721,1198,2571,1590,3897,1
1721,1198,2571,1590,3897,3513,0
1198,2571,1590,3897,4011,3409,0
2571,1590,3897,4011,3798,4148,1
1590,3897,4011,3798,4148,47,1
3897,4011,3798,4148,47,1619,0
4011,3798,4148,47,3578,3624,1
3798,4148,47,3578,3624,3753,1
4148,47,3578,3624,3753,3793,1
47,3578,3624,3753,3793,3996,1
3578,3624,3753,3793,3996,3300,1
3624,3753,3793,3996,3300,3717,0
3753,3793,3996,3300,3827,3977,0
150,590,339,434,593,110,1
590,339,434,593,110,288,1
339,434,593,110,288,47,1
434,593,110,288,47,19,0
593,110,288,47,32,266,1
110,288,47,32,266,39,0
288,47,32,266,282,337,1
47,32,266,282,337,356,1
32,266,282,337,356,553,1
266,282,337,356,553,480,0
282,337,356,553,95,377,0
337,356,553,95,509,105,0
356,553,95,509,25,539,1
553,95,509,25,539,597,0
95,509,25,539,477,376,1
509,25,539,477,376,4,0
25,539,477,376,383,540,0
2001,2150,3510,4018,3555,69757,1
2150,3510,4018,3555,69757,3994,0
3510,4018,3555,69757,4720,2571,1
4018,3555,69757,4720,2571,2959,0
3555,69757,4720,2571,2858,4993,0
69757,4720,2571,2858,3578,4226,0
4720,2571,2858,3578,4995,5445,1
2571,2858,3578,4995,5445,3147,1
2858,3578,4995,5445,3147,318,1
3578,4995,5445,3147,318,356,1
4995,5445,3147,318,356,296,1
5445,3147,318,356,296,109487,1
3147,318,356,296,109487,134130,1
318,356,296,109487,134130,58559,0
356,296,109487,134130,5989,858,1
296,109487,134130,5989,858,260,1
109487,134130,5989,858,260,122904,0
134130,5989,858,260,1270,99114,0
5989,858,260,1270,527,2028,0
858,260,1270,527,1198,1265,0
260,1270,527,1198,2329,115713,0
1270,527,1198,2329,589,111759,1
527,1198,2329,589,111759,4022,0
1198,2329,589,111759,2011,48780,1
2329,589,111759,2011,48780,6874,0
589,111759,2011,48780,104841,59315,0
111759,2011,48780,104841,2012,122882,0
2011,48780,104841,2012,64614,3949,1
48780,104841,2012,64614,3949,115149,0
104841,2012,64614,3949,112556,97938,1
2012,64614,3949,112556,97938,134853,1
64614,3949,112556,97938,134853,3535,0
3949,112556,97938,134853,3499,152077,1
112556,97938,134853,3499,152077,48304,1
97938,134853,3499,152077,48304,143385,0
134853,3499,152077,48304,105504,1196,1
3499,152077,48304,105504,1196,1240,1
152077,48304,105504,1196,1240,1210,1
48304,105504,1196,1240,1210,70286,0
105504,1196,1240,1210,122886,1214,1
1196,1240,1210,122886,1214,1200,1
1240,1210,122886,1214,1200,166528,1
1210,122886,1214,1200,166528,1653,1
122886,1214,1200,166528,1653,7254,0
1214,1200,166528,1653,84152,89745,0
1200,166528,1653,84152,2916,780,0
166528,1653,84152,2916,33493,101864,1
1653,84152,2916,33493,101864,110102,0
84152,2916,33493,101864,4370,122924,0
2916,33493,101864,4370,3156,84954,1
33493,101864,4370,3156,84954,60069,0
101864,4370,3156,84954,71057,152081,0
849,1261,3108,319,318,858,0
1261,3108,319,318,50,527,1
3108,319,318,50,527,2019,1
319,318,50,527,2019,904,0
318,50,527,2019,1193,58559,1
50,527,2019,1193,58559,750,1
